PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,DeckNum,members
1,0,3,0,22.0,1,0,7.25,2,-1.0,1
2,1,1,1,38.0,1,0,71.2833,0,2.0,1
3,1,3,1,26.0,0,0,7.925,2,-1.0,1
4,1,1,1,35.0,1,0,53.1,2,2.0,2
5,0,3,0,35.0,0,0,8.05,2,-1.0,1
6,0,3,0,-1.0,0,0,8.4583,1,-1.0,1
7,0,1,0,54.0,0,0,51.8625,2,4.0,1
8,0,3,0,2.0,3,1,21.075,2,-1.0,4
9,1,3,1,27.0,0,2,11.1333,2,-1.0,3
10,1,2,1,14.0,1,0,30.0708,0,-1.0,2
11,1,3,1,4.0,1,1,16.7,2,6.0,2
12,1,1,1,58.0,0,0,26.55,2,2.0,1
13,0,3,0,20.0,0,0,8.05,2,-1.0,1
14,0,3,0,39.0,1,5,31.275,2,-1.0,7
15,0,3,1,14.0,0,0,7.8542,2,-1.0,1
16,1,2,1,55.0,0,0,16.0,2,-1.0,1
17,0,3,0,2.0,4,1,29.125,1,-1.0,5
18,1,2,0,-1.0,0,0,13.0,2,-1.0,1
19,0,3,1,31.0,1,0,18.0,2,-1.0,1
20,1,3,1,-1.0,0,0,7.225,0,-1.0,1
21,0,2,0,35.0,0,0,26.0,2,-1.0,2
22,1,2,0,34.0,0,0,13.0,2,3.0,1
23,1,3,1,15.0,0,0,8.0292,1,-1.0,1
24,1,1,0,28.0,0,0,35.5,2,0.0,1
25,0,3,1,8.0,3,1,21.075,2,-1.0,4
26,1,3,1,38.0,1,5,31.3875,2,-1.0,4
27,0,3,0,-1.0,0,0,7.225,0,-1.0,1
28,0,1,0,19.0,3,2,263.0,2,2.0,4
29,1,3,1,-1.0,0,0,7.8792,1,-1.0,1
30,0,3,0,-1.0,0,0,7.8958,2,-1.0,1
31,0,1,0,40.0,0,0,27.7208,0,-1.0,1
32,1,1,1,-1.0,1,0,146.5208,0,1.0,2
33,1,3,1,-1.0,0,0,7.75,1,-1.0,1
34,0,2,0,66.0,0,0,10.5,2,-1.0,1
35,0,1,0,28.0,1,0,82.1708,0,-1.0,2
36,0,1,0,42.0,1,0,52.0,2,-1.0,2
37,1,3,0,-1.0,0,0,7.2292,0,-1.0,1
38,0,3,0,21.0,0,0,8.05,2,-1.0,1
39,0,3,1,18.0,2,0,18.0,2,-1.0,2
40,1,3,1,14.0,1,0,11.2417,0,-1.0,2
41,0,3,1,40.0,1,0,9.475,2,-1.0,1
42,0,2,1,27.0,1,0,21.0,2,-1.0,2
43,0,3,0,-1.0,0,0,7.8958,0,-1.0,1
44,1,2,1,3.0,1,2,41.5792,0,-1.0,3
45,1,3,1,19.0,0,0,7.8792,1,-1.0,1
46,0,3,0,-1.0,0,0,8.05,2,-1.0,1
47,0,3,0,-1.0,1,0,15.5,1,-1.0,1
48,1,3,1,-1.0,0,0,7.75,1,-1.0,1
49,0,3,0,-1.0,2,0,21.6792,0,-1.0,1
50,0,3,1,18.0,1,0,17.8,2,-1.0,2
51,0,3,0,7.0,4,1,39.6875,2,-1.0,6
52,0,3,0,21.0,0,0,7.8,2,-1.0,1
53,1,1,1,49.0,1,0,76.7292,0,3.0,3
54,1,2,1,29.0,1,0,26.0,2,-1.0,1
55,0,1,0,65.0,0,1,61.9792,0,1.0,1
56,1,1,0,-1.0,0,0,35.5,2,2.0,1
57,1,2,1,21.0,0,0,10.5,2,-1.0,1
58,0,3,0,28.5,0,0,7.2292,0,-1.0,1
59,1,2,1,5.0,1,2,27.75,2,-1.0,3
60,0,3,0,11.0,5,2,46.9,2,-1.0,6
61,0,3,0,22.0,0,0,7.2292,0,-1.0,1
62,1,1,1,38.0,0,0,80.0,0,1.0,2
63,0,1,0,45.0,1,0,83.475,2,2.0,2
64,0,3,0,4.0,3,2,27.9,2,-1.0,6
65,0,1,0,-1.0,0,0,27.7208,0,-1.0,1
66,1,3,0,-1.0,1,1,15.2458,0,-1.0,2
67,1,2,1,29.0,0,0,10.5,2,5.0,1
68,0,3,0,19.0,0,0,8.1583,2,-1.0,1
