PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Missing_Cabin,DeckNum,Missing_Age,members,Pclass Sex,Pclass Age,Pclass SibSp,Pclass Parch,Pclass Fare,Pclass Embarked,Pclass Missing_Cabin,Pclass DeckNum,Pclass Missing_Age,Pclass members,Sex Age,Sex SibSp,Sex Parch,Sex Fare,Sex Embarked,Sex Missing_Cabin,Sex DeckNum,Sex Missing_Age,Sex members,Age SibSp,Age Parch,Age Fare,Age Embarked,Age Missing_Cabin,Age DeckNum,Age Missing_Age,Age members,SibSp Parch,SibSp Fare,SibSp Embarked,SibSp Missing_Cabin,SibSp DeckNum,SibSp Missing_Age,SibSp members,Parch Fare,Parch Embarked,Parch Missing_Cabin,Parch DeckNum,Parch Missing_Age,Parch members,Fare Embarked,Fare Missing_Cabin,Fare DeckNum,Fare Missing_Age,Fare members,Embarked Missing_Cabin,Embarked DeckNum,Embarked Missing_Age,Embarked members,Missing_Cabin DeckNum,Missing_Cabin Missing_Age,Missing_Cabin members,DeckNum Missing_Age,DeckNum members,Missing_Age members,Survived
1,3.0,0.0,22.0,1.0,0.0,7.25,2.0,1.0,-1.0,0.0,1.0,0.0,66.0,3.0,0.0,21.75,6.0,3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,22.0,0.0,159.5,44.0,22.0,-22.0,0.0,22.0,0.0,7.25,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,14.5,7.25,-7.25,0.0,7.25,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
2,1.0,1.0,38.0,1.0,0.0,71.2833,0.0,0.0,2.0,0.0,1.0,1.0,38.0,1.0,0.0,71.2833,0.0,0.0,2.0,0.0,1.0,38.0,1.0,0.0,71.2833,0.0,0.0,2.0,0.0,1.0,38.0,0.0,2708.7653999999998,0.0,0.0,76.0,0.0,38.0,0.0,71.2833,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5666,0.0,71.2833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
3,3.0,1.0,26.0,0.0,0.0,7.925,2.0,1.0,-1.0,0.0,1.0,3.0,78.0,0.0,0.0,23.775,6.0,3.0,-3.0,0.0,3.0,26.0,0.0,0.0,7.925,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,206.04999999999998,52.0,26.0,-26.0,0.0,26.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,15.85,7.925,-7.925,0.0,7.925,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,1
4,1.0,1.0,35.0,1.0,0.0,53.1,2.0,0.0,2.0,0.0,2.0,1.0,35.0,1.0,0.0,53.1,2.0,0.0,2.0,0.0,2.0,35.0,1.0,0.0,53.1,2.0,0.0,2.0,0.0,2.0,35.0,0.0,1858.5,70.0,0.0,70.0,0.0,70.0,0.0,53.1,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2,0.0,106.2,0.0,106.2,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1
5,3.0,0.0,35.0,0.0,0.0,8.05,2.0,1.0,-1.0,0.0,1.0,0.0,105.0,0.0,0.0,24.150000000000002,6.0,3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,281.75,70.0,35.0,-35.0,0.0,35.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,16.1,8.05,-8.05,0.0,8.05,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
6,3.0,0.0,-1.0,0.0,0.0,8.4583,1.0,1.0,-1.0,1.0,1.0,0.0,-3.0,0.0,0.0,25.374899999999997,3.0,3.0,-3.0,3.0,3.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8.4583,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.4583,8.4583,-8.4583,8.4583,8.4583,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0
7,1.0,0.0,54.0,0.0,0.0,51.8625,2.0,0.0,4.0,0.0,1.0,0.0,54.0,0.0,0.0,51.8625,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.575,108.0,0.0,216.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.725,0.0,207.45,0.0,51.8625,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0
8,3.0,0.0,2.0,3.0,1.0,21.075,2.0,1.0,-1.0,0.0,4.0,0.0,6.0,9.0,3.0,63.224999999999994,6.0,3.0,-3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,6.0,2.0,42.15,4.0,2.0,-2.0,0.0,8.0,3.0,63.224999999999994,6.0,3.0,-3.0,0.0,12.0,21.075,2.0,1.0,-1.0,0.0,4.0,42.15,21.075,-21.075,0.0,84.3,2.0,-2.0,0.0,8.0,-1.0,0.0,4.0,-0.0,-4.0,0.0,0
9,3.0,1.0,27.0,0.0,2.0,11.1333,2.0,1.0,-1.0,0.0,3.0,3.0,81.0,0.0,6.0,33.3999,6.0,3.0,-3.0,0.0,9.0,27.0,0.0,2.0,11.1333,2.0,1.0,-1.0,0.0,3.0,0.0,54.0,300.5991,54.0,27.0,-27.0,0.0,81.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,22.2666,4.0,2.0,-2.0,0.0,6.0,22.2666,11.1333,-11.1333,0.0,33.3999,2.0,-2.0,0.0,6.0,-1.0,0.0,3.0,-0.0,-3.0,0.0,1
10,2.0,1.0,14.0,1.0,0.0,30.0708,0.0,1.0,-1.0,0.0,2.0,2.0,28.0,2.0,0.0,60.1416,0.0,2.0,-2.0,0.0,4.0,14.0,1.0,0.0,30.0708,0.0,1.0,-1.0,0.0,2.0,14.0,0.0,420.9912,0.0,14.0,-14.0,0.0,28.0,0.0,30.0708,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,30.0708,-30.0708,0.0,60.1416,0.0,-0.0,0.0,0.0,-1.0,0.0,2.0,-0.0,-2.0,0.0,1
